playerFullName,win,original_col,value
Adolis García,FALSE,HR_num_mean,0.14705882352941177
Adolis García,FALSE,R_num_median,0
Adolis García,FALSE,R_num_mean,0.3235294117647059
Adolis García,FALSE,RBI_num_median,0
Adolis García,FALSE,RBI_num_mean,0.3823529411764706
Adolis García,FALSE,BB_num_median,0
Adolis García,FALSE,BB_num_mean,0.3235294117647059
Adolis García,FALSE,K_num_median,1
Adolis García,FALSE,K_num_mean,1.1764705882352942
Adolis García,FALSE,HBP_num_median,0
Adolis García,FALSE,HBP_num_mean,0.02941176470588236
Adolis García,FALSE,SB_num_median,0
Adolis García,FALSE,SB_num_mean,0.0588235294117647
Adolis García,FALSE,CS_num_median,0
Adolis García,FALSE,CS_num_mean,0
Adolis García,FALSE,XBH_num_median,0
Adolis García,FALSE,XBH_num_mean,0.2794117647058824
Adolis García,FALSE,TB_num_median,1
Adolis García,FALSE,TB_num_mean,1.1764705882352942
Adolis García,FALSE,GDP_num_median,0
Adolis García,FALSE,GDP_num_mean,0.04411764705882353
Adolis García,FALSE,SF_num_median,0
Adolis García,FALSE,SF_num_mean,0.05882352941176471
Adolis García,FALSE,SH_num_median,0
Adolis García,FALSE,SH_num_mean,0
Adolis García,TRUE,G_num_median,1
Adolis García,TRUE,G_num_mean,0.9761904761904762
Adolis García,TRUE,GS_num_median,1
Adolis García,TRUE,GS_num_mean,0.9761904761904762
Adolis García,TRUE,P_num_median,17
Adolis García,TRUE,P_num_mean,17.797619047619047
Adolis García,TRUE,PA_num_median,4
Adolis García,TRUE,PA_num_mean,4.380952380952381
Adolis García,TRUE,AB_num_median,4
Adolis García,TRUE,AB_num_mean,3.7976190476190474
Adolis García,TRUE,H_num_median,1
Adolis García,TRUE,H_num_mean,1.130952380952381
Adolis García,TRUE,1B_num_median,0
Adolis García,TRUE,1B_num_mean,0.5476190476190478
Adolis García,TRUE,2B_num_median,0
Adolis García,TRUE,2B_num_mean,0.23809523809523805
Adolis García,TRUE,3B_num_median,0
Adolis García,TRUE,3B_num_mean,0
Adolis García,TRUE,HR_num_median,0
Adolis García,TRUE,HR_num_mean,0.3452380952380952
Adolis García,TRUE,R_num_median,1
Adolis García,TRUE,R_num_mean,1.0238095238095237
Adolis García,TRUE,RBI_num_median,1
Adolis García,TRUE,RBI_num_mean,0.9642857142857143
Adolis García,TRUE,BB_num_median,0
Adolis García,TRUE,BB_num_mean,0.5119047619047619
Adolis García,TRUE,K_num_median,1
Adolis García,TRUE,K_num_mean,1.1309523809523807
Adolis García,TRUE,HBP_num_median,0
Adolis García,TRUE,HBP_num_mean,0.0476190476190476
Adolis García,TRUE,SB_num_median,0
Adolis García,TRUE,SB_num_mean,0.059523809523809514
Adolis García,TRUE,CS_num_median,0
Adolis García,TRUE,CS_num_mean,0.01190476190476192
Adolis García,TRUE,XBH_num_median,0
Adolis García,TRUE,XBH_num_mean,0.5833333333333333
Adolis García,TRUE,TB_num_median,2
Adolis García,TRUE,TB_num_mean,2.4047619047619047
Adolis García,TRUE,GDP_num_median,0
Adolis García,TRUE,GDP_num_mean,0.10714285714285714
Adolis García,TRUE,SF_num_median,0
Adolis García,TRUE,SF_num_mean,0.023809523809523826
Adolis García,TRUE,SH_num_median,0
Adolis García,TRUE,SH_num_mean,0
Alec Bohm,FALSE,G_num_median,1
Alec Bohm,FALSE,G_num_mean,0.9558823529411765
Alec Bohm,FALSE,GS_num_median,1
Alec Bohm,FALSE,GS_num_mean,0.9264705882352942
Alec Bohm,FALSE,P_num_median,15.5
Alec Bohm,FALSE,P_num_mean,14.426470588235293
Alec Bohm,FALSE,PA_num_median,4
Alec Bohm,FALSE,PA_num_mean,3.8970588235294117
Alec Bohm,FALSE,AB_num_median,4
Alec Bohm,FALSE,AB_num_mean,3.514705882352941
Alec Bohm,FALSE,H_num_median,1
Alec Bohm,FALSE,H_num_mean,0.8529411764705882
Alec Bohm,FALSE,1B_num_median,0
Alec Bohm,FALSE,1B_num_mean,0.588235294117647
Alec Bohm,FALSE,2B_num_median,0
Alec Bohm,FALSE,2B_num_mean,0.1764705882352941
Alec Bohm,FALSE,3B_num_median,0
Alec Bohm,FALSE,3B_num_mean,0
Alec Bohm,FALSE,HR_num_median,0
Alec Bohm,FALSE,HR_num_mean,0.08823529411764706
Alec Bohm,FALSE,R_num_median,0
Alec Bohm,FALSE,R_num_mean,0.3235294117647059
Alec Bohm,FALSE,RBI_num_median,0
Alec Bohm,FALSE,RBI_num_mean,0.4705882352941176
Alec Bohm,FALSE,BB_num_median,0
Alec Bohm,FALSE,BB_num_mean,0.3088235294117647
Alec Bohm,FALSE,K_num_median,1
Alec Bohm,FALSE,K_num_mean,0.6176470588235294
Alec Bohm,FALSE,HBP_num_median,0
Alec Bohm,FALSE,HBP_num_mean,0.02941176470588235
Alec Bohm,FALSE,SB_num_median,0
Alec Bohm,FALSE,SB_num_mean,0
Alec Bohm,FALSE,CS_num_median,0
Alec Bohm,FALSE,CS_num_mean,0
Alec Bohm,FALSE,XBH_num_median,0
Alec Bohm,FALSE,XBH_num_mean,0.26470588235294124
Alec Bohm,FALSE,TB_num_median,1
Alec Bohm,FALSE,TB_num_mean,1.2941176470588236
Alec Bohm,FALSE,GDP_num_median,0
Alec Bohm,FALSE,GDP_num_mean,0.1764705882352941
Alec Bohm,FALSE,SF_num_median,0
Alec Bohm,FALSE,SF_num_mean,0.04411764705882354
Alec Bohm,FALSE,SH_num_median,0
Alec Bohm,FALSE,SH_num_mean,0
Alec Bohm,TRUE,G_num_median,1
Alec Bohm,TRUE,G_num_mean,0.9523809523809523
Alec Bohm,TRUE,GS_num_median,1
Alec Bohm,TRUE,GS_num_mean,0.9404761904761905
Alec Bohm,TRUE,P_num_median,15.5
Alec Bohm,TRUE,P_num_mean,15.130952380952381
Alec Bohm,TRUE,PA_num_median,4
Alec Bohm,TRUE,PA_num_mean,4.119047619047619
Alec Bohm,TRUE,AB_num_median,4
Alec Bohm,TRUE,AB_num_mean,3.7976190476190474
Alec Bohm,TRUE,H_num_median,1
Alec Bohm,TRUE,H_num_mean,1.130952380952381
Alec Bohm,TRUE,1B_num_median,1
Alec Bohm,TRUE,1B_num_mean,0.7380952380952381
Alec Bohm,TRUE,2B_num_median,0
Alec Bohm,TRUE,2B_num_mean,0.2261904761904762
Alec Bohm,TRUE,3B_num_median,0
Alec Bohm,TRUE,3B_num_mean,0
Alec Bohm,TRUE,HR_num_median,0
Alec Bohm,TRUE,HR_num_mean,0.1666666666666667
Alec Bohm,TRUE,R_num_median,0
Alec Bohm,TRUE,R_num_mean,0.6190476190476191
Alec Bohm,TRUE,RBI_num_median,0
Alec Bohm,TRUE,RBI_num_mean,0.7738095238095238
Alec Bohm,TRUE,BB_num_median,0
Alec Bohm,TRUE,BB_num_mean,0.25
Alec Bohm,TRUE,K_num_median,0
Alec Bohm,TRUE,K_num_mean,0.6190476190476193
Alec Bohm,TRUE,HBP_num_median,0
Alec Bohm,TRUE,HBP_num_mean,0.035714285714285726
Alec Bohm,TRUE,SB_num_median,0
Alec Bohm,TRUE,SB_num_mean,0.04761904761904758
Alec Bohm,TRUE,CS_num_median,0
Alec Bohm,TRUE,CS_num_mean,0.011904761904761918
Alec Bohm,TRUE,XBH_num_median,0
Alec Bohm,TRUE,XBH_num_mean,0.39285714285714285
Alec Bohm,TRUE,TB_num_median,1
Alec Bohm,TRUE,TB_num_mean,1.857142857142857
Alec Bohm,TRUE,GDP_num_median,0
Alec Bohm,TRUE,GDP_num_mean,0.13095238095238096
Alec Bohm,TRUE,SF_num_median,0
Alec Bohm,TRUE,SF_num_mean,0.03571428571428569
Alec Bohm,TRUE,SH_num_median,0
Alec Bohm,TRUE,SH_num_mean,0
Alex Bregman,FALSE,G_num_median,1
Alex Bregman,FALSE,G_num_mean,0.9861111111111112
Alex Bregman,FALSE,GS_num_median,1
Alex Bregman,FALSE,GS_num_mean,0.9861111111111112
Alex Bregman,FALSE,P_num_median,15
Alex Bregman,FALSE,P_num_mean,16.09722222222222
Alex Bregman,FALSE,PA_num_median,4
Alex Bregman,FALSE,PA_num_mean,4.194444444444445
Alex Bregman,FALSE,AB_num_median,4
Alex Bregman,FALSE,AB_num_mean,3.8055555555555554
Alex Bregman,FALSE,H_num_median,1
Alex Bregman,FALSE,H_num_mean,0.8333333333333333
Alex Bregman,FALSE,1B_num_median,0
Alex Bregman,FALSE,1B_num_mean,0.5277777777777778
Alex Bregman,FALSE,2B_num_median,0
Alex Bregman,FALSE,2B_num_mean,0.13888888888888892
Alex Bregman,FALSE,3B_num_median,0
Alex Bregman,FALSE,3B_num_mean,0.04166666666666667
Alex Bregman,FALSE,HR_num_median,0
Alex Bregman,FALSE,HR_num_mean,0.125
Alex Bregman,FALSE,R_num_median,0
Alex Bregman,FALSE,R_num_mean,0.38888888888888895
Alex Bregman,FALSE,RBI_num_median,0
Alex Bregman,FALSE,RBI_num_mean,0.36111111111111105
Alex Bregman,FALSE,BB_num_median,0
Alex Bregman,FALSE,BB_num_mean,0.3611111111111111
Alex Bregman,FALSE,K_num_median,0
Alex Bregman,FALSE,K_num_mean,0.6111111111111113
Alex Bregman,FALSE,HBP_num_median,0
Alex Bregman,FALSE,HBP_num_mean,0.02777777777777777
Alex Bregman,FALSE,SB_num_median,0
Alex Bregman,FALSE,SB_num_mean,0.013888888888888886
Alex Bregman,FALSE,CS_num_median,0
Alex Bregman,FALSE,CS_num_mean,0
Alex Bregman,FALSE,XBH_num_median,0
Alex Bregman,FALSE,XBH_num_mean,0.30555555555555564
Alex Bregman,FALSE,TB_num_median,1
Alex Bregman,FALSE,TB_num_mean,1.4305555555555558
Alex Bregman,FALSE,GDP_num_median,0
Alex Bregman,FALSE,GDP_num_mean,0.13888888888888892
Alex Bregman,FALSE,SF_num_median,0
Alex Bregman,FALSE,SF_num_mean,0
Alex Bregman,FALSE,SH_num_median,0
Alex Bregman,FALSE,SH_num_mean,0
Alex Bregman,TRUE,G_num_median,1
Alex Bregman,TRUE,G_num_mean,1
Alex Bregman,TRUE,GS_num_median,1
Alex Bregman,TRUE,GS_num_mean,1
Alex Bregman,TRUE,BA_num_median,0.25
Alex Bregman,TRUE,BA_num_mean,0.2936666666666667
Alex Bregman,TRUE,OBP_num_median,0.4
Alex Bregman,TRUE,OBP_num_mean,0.4098
Alex Bregman,TRUE,SLG_num_median,0.2915
Alex Bregman,TRUE,SLG_num_mean,0.5073666666666666
Alex Bregman,TRUE,P_num_median,18
Alex Bregman,TRUE,P_num_mean,18.11111111111111
Alex Bregman,TRUE,PA_num_median,5
Alex Bregman,TRUE,PA_num_mean,4.688888888888889
Alex Bregman,TRUE,AB_num_median,4
Alex Bregman,TRUE,AB_num_mean,3.8666666666666667
Alex Bregman,TRUE,H_num_median,1
